Gender, Age Range, Head Size(cm^3), Brain weight(grams)
1, 1, 4512, 1530
2, 1, 3738, 1297
1, 1, 4261, 1335
1, 1, 3777, 1282
1, 1, 4177, 1590
2, 1, 3585, 1300
2, 1, 3785, 1400
1, 1, 3559, 1255
1, 1, 3613, 1355
1, 1, 3982, 1375
2, 1, 3443, 1340
1, 1, 3993, 1380
2, 1, 3640, 1355
2, 1, 4208, 1522
1, 1, 3832, 1208
1, 1, 3876, 1405
1, 1, 3497, 1350
2, 1, 3466, 1292
2, 1, 3095, 1340
2, 1, 4424, 1400
1, 1, 3878, 1357
1, 1, 4046, 1287
1, 1, 3804, 1275
1, 1, 3710, 1270
1, 1, 4747, 1635
2, 1, 4423, 1505
1, 1, 4036, 1490
1, 1, 4022, 1485
1, 1, 3454, 1310
2, 1, 4175, 1420
2, 1, 3787, 1318
1, 1, 3796, 1432
2, 1, 4116, 1420
1, 1, 4221, 1440
2, 1, 3297, 1255
2, 1, 4077, 1280
1, 1, 4021, 1405
2, 1, 4141, 1432
2, 1, 6078, 1800
1, 1, 3786, 1250
1, 1, 3450, 1230
1, 1, 3703, 1235
1, 1, 3642, 1330
2, 1, 4202, 1420
1, 1, 3834, 1290
1, 1, 3876, 1340
1, 1, 4038, 1415
2, 1, 3796, 1410
2, 1, 3585, 1432
1, 1, 3786, 1357
1, 1, 3435, 1260
2, 1, 3856, 1290
1, 1, 3458, 1335
2, 1, 4093, 1296
2, 1, 4161, 1415
1, 1, 3496, 1300
1, 1, 4218, 1350
1, 1, 4046, 1370
2, 1, 4240, 1380
2, 1, 3295, 1320
1, 1, 3735, 1200
1, 1, 3559, 1225
1, 1, 3533, 1310
2, 1, 3246, 1210
2, 1, 3884, 1260
2, 1, 3739, 1315
2, 1, 3835, 1290
2, 1, 3779, 1265
2, 1, 4175, 1420
1, 1, 3589, 1250
1, 1, 3782, 1220
1, 1, 3510, 1335
1, 1, 3963, 1300
2, 1, 3685, 1340
2, 1, 3704, 1350
2, 1, 3218, 1175
2, 1, 4243, 1380
1, 1, 4079, 1260
2, 1, 3529, 1240
1, 1, 3890, 1250
1, 1, 3485, 1240
2, 1, 3935, 1340
1, 1, 3580, 1250
1, 1, 3935, 1350
2, 1, 4050, 1270
2, 1, 3340, 1320
1, 1, 4190, 1415
1, 1, 3804, 1285
2, 1, 4042, 1335
2, 1, 4165, 1405
2, 1, 4112, 1410
1, 1, 3899, 1335
1, 1, 3794, 1260
1, 1, 3739, 1230
2, 1, 3688, 1245
1, 1, 3704, 1345
2, 1, 4121, 1380
1, 1, 3601, 1260
2, 1, 3549, 1250
2, 1, 3804, 1360
1, 1, 3695, 1280
2, 1, 3831, 1310
2, 1, 3513, 1300
2, 1, 4133, 1405
2, 1, 4036, 1345
1, 1, 3767, 1178
1, 1, 3704, 1270
1, 1, 3394, 1260
1, 1, 3777, 1205
1, 1, 3778, 1270
1, 1, 4051, 1280
1, 1, 3580, 1240
1, 1, 3491, 1195
1, 1, 3460, 1205
1, 1, 3538, 1225
1, 1, 3887, 1320
1, 1, 4421, 1290
1, 1, 3166, 1170
1, 1, 3685, 1195
1, 1, 4008, 1405
1, 1, 3586, 1215
1, 1, 3451, 1190
1, 1, 3685, 1320
1, 1, 3807, 1290
1, 1, 3563, 1245
1, 1, 3576, 1280
1, 1, 4048, 1320
1, 1, 3830, 1250
1, 1, 3532, 1215
1, 1, 3673, 1310
1, 1, 3596, 1280
1, 1, 3589, 1200
1, 1, 3358, 1180
1, 1, 3940, 1330
1, 1, 4052, 1296
1, 1, 3806, 1235
1, 1, 3725, 1180
1, 1, 3749, 1240
1, 1, 3740, 1265
1, 1, 3811, 1235
1, 1, 3775, 1195
1, 1, 4957, 1780
1, 1, 4167, 1400
1, 1, 3566, 1205
1, 1, 3710, 1215
1, 1, 3658, 1310
1, 1, 3884, 1280
1, 1, 3577, 1302
1, 1, 3443, 1195
1, 1, 3704, 1280
1, 1, 3899, 1305
1, 1, 3635, 1240
1, 1, 4069, 1340
1, 1, 3930, 1375
1, 1, 3499, 1220
1, 1, 3632, 1320
1, 1, 2820, 955
1, 1, 4048, 1235
1, 1, 3558, 1165
1, 1, 3656, 1240
1, 1, 3666, 1300
1, 1, 3654, 1305
1, 1, 3295, 1150
1, 1, 4076, 1340
1, 1, 4173, 1400
1, 1, 3573, 1270
1, 1, 3580, 1350
1, 1, 3383, 1220
1, 1, 3556, 1250
1, 1, 3233, 1240
1, 1, 3357, 1170
1, 1, 3685, 1300
1, 1, 3709, 1290
1, 1, 3580, 1155
1, 1, 3660, 1205
1, 1, 3643, 1236
1, 1, 3716, 1295
1, 1, 3634, 1175
1, 1, 3695, 1270
1, 1, 3835, 1335
1, 1, 3662, 1275
1, 1, 3832, 1320
1, 1, 3454, 1215
1, 1, 3937, 1330
1, 1, 3846, 1255
1, 1, 3856, 1300
1, 1, 3393, 1220
1, 1, 3727, 1305
1, 1, 3615, 1250
1, 1, 3573, 1245
1, 1, 3473, 1235
1, 1, 3612, 1250
1, 1, 3832, 1280
1, 1, 3334, 1215
1, 1, 3394, 1150
1, 1, 3876, 1300
1, 1, 3912, 1300
1, 1, 3558, 1170
1, 1, 3562, 1240
1, 1, 3836, 1290
1, 1, 3675, 1290
1, 1, 3774, 1235
1, 1, 3640, 1235
1, 1, 3899, 1340
1, 1, 3887, 1370
1, 1, 3906, 1300
1, 1, 3962, 1240
1, 1, 3458, 1160
1, 1, 3586, 1160
1, 1, 3498, 1175
1, 1, 3688, 1275
1, 1, 3704, 1280
1, 1, 3615, 1245
1, 1, 3802, 1310
1, 1, 3400, 1225
1, 1, 3761, 1320
1, 1, 3475, 1180
1, 1, 3485, 1160
1, 1, 3704, 1260
1, 1, 3720, 1250
1, 1, 3850, 1305
1, 1, 3497, 1220
1, 1, 3593, 1245
1, 1, 3156, 1070
1, 1, 3810, 1250
1, 1, 3695, 1275
1, 1, 3450, 1080
1, 1, 3456, 1052
1, 1, 3832, 1240
1, 1, 3527, 1196
1, 1, 3675, 1235
1, 1, 3228, 1022
1, 1, 3400, 1110
1, 1, 3228, 1175
1, 1, 3476, 1190
1, 1, 3461, 1022
1, 1, 3334, 1103
1, 1, 3704, 1255
1, 1, 3571, 1102
1, 1, 3585, 1130
1, 1, 3380, 1095
1, 1, 3556, 1245
1, 1, 3600, 1235
1, 1, 3716, 1160
1, 1, 3691, 1175
1, 1, 3785, 1250
1, 1, 3449, 1027
1, 1, 3258, 1060
1, 1, 3848, 1265
1, 1, 3580, 1130
1, 1, 3635, 1185
1, 1, 3503, 1075
1, 1, 3669, 1250
1, 1, 3438, 1040
1, 1, 3651, 1130
1, 1, 3642, 1250
1, 1, 3570, 1170
1, 1, 3690, 1120
1, 1, 3703, 1103
1, 1, 3957, 1290
1, 1, 3654, 1120
1, 1, 3937, 1270
1, 1, 3420, 1027
1, 1, 3586, 1080
1, 1, 3700, 1205
1, 1, 3531, 1030
1, 1, 3903, 1310
1, 1, 3580, 1105
1, 1, 3600, 1235
1, 1, 3646, 1110
1, 1, 3575, 1035
1, 1, 3735, 1205
1, 1, 3373, 1045
1, 1, 3642, 1200
1, 1, 3580, 1065
1, 1, 3705, 1240
1, 1, 3275, 1037
1, 1, 3375, 1030
1, 1, 4005, 1380
1, 1, 3712, 1180
1, 1, 3793, 1280
1, 1, 3360, 1100
1, 1, 3670, 1175
1, 1, 3466, 1012
1, 1, 3585, 1027
1, 1, 3654, 1070
1, 1, 3435, 1103
1, 1, 3510, 1200
1, 1, 3695, 1170
1, 1, 3755, 1280
1, 1, 3665, 1110
1, 1, 3530, 1205
1, 1, 3820, 1250
1, 1, 3383, 1132
1, 1, 3435, 1103
1, 1, 3687, 1200
1, 1, 3466, 1050
1, 1, 3566, 1050
1, 1, 3962, 1290
1, 1, 3180, 1015
1, 1, 3685, 1120
1, 1, 3527, 1125
1, 1, 3632, 1220
1, 1, 3665, 1030
1, 1, 3820, 1220
1, 1, 3445, 1012
1, 1, 3529, 1055
1, 1, 3785, 1275
1, 1, 3615, 1045
1, 1, 4055, 1330
1, 1, 3462, 1025
1, 1, 3527, 1090
1, 1, 3493, 1020
1, 1, 3790, 1125
1, 1, 3768, 1180
1, 1, 3899, 1300
1, 1, 3582, 1100
1, 1, 3499, 1000
1, 1, 3485, 1092
1, 1, 3979, 1205
1, 1, 3703, 1175
1, 1, 3492, 1010
1, 1, 3740, 1100
1, 1, 3808, 1165
1, 1, 3537, 1125
1, 1, 3589, 1105
1, 1, 3526, 1110
1, 1, 3962, 1250
1, 1, 3688, 1130
1, 1, 3704, 1150
1, 1, 3826, 1208
1, 1, 3884, 1270
1, 1, 3548, 1175
1, 1, 3458, 1100
1, 1, 3630, 1027
1, 1, 3295, 1000
1, 1, 3660, 1120
1, 1, 3585, 1100
1, 1, 3665, 1130
1, 1, 3685, 1075
1, 1, 3763, 1130
1, 1, 3505, 1030
1, 1, 3403, 1092
1, 1, 3498, 1003
1, 1, 3899, 1250
1, 1, 3585, 1025
1, 1, 3648, 1090
1, 1, 3655, 1120
1, 1, 3646, 1103
1, 1, 3711, 1120
1, 1, 3715, 1208
1, 1, 3467, 1060
1, 1, 3606, 1150
1, 1, 3706, 1220
1, 1, 3695, 1100
1, 1, 3648, 1090
1, 1, 3470, 1130
1, 1, 3645, 1150
1, 1, 3639, 1100
1, 1, 3574, 1200
1, 1, 3647, 1120
1, 1, 3716, 1200
1, 1, 3608, 1100
1, 1, 3591, 1012
1, 1, 3394, 1100
1, 1, 3415, 1030
1, 1, 3420, 1080
1, 1, 3490, 1105
1, 1, 3308, 1020
1, 1, 3654, 1100
1, 1, 3450, 1050
1, 1, 3695, 1305
1, 1, 3606, 1250
1, 1, 3589, 1170
1, 1, 3782, 1290
1, 1, 3625, 1120
1, 1, 3592, 1090
1, 1, 3443, 1012
1, 1, 3292, 1000
1, 1, 3962, 1300
1, 1, 3469, 1000
1, 1, 3900, 1220
1, 1, 3527, 1080
1, 1, 3695, 1055
1, 1, 3352, 1020
1, 1, 3370, 1060
1, 1, 3455, 1010
1, 1, 3724, 1090
1, 1, 3525, 1110
1, 1, 3526, 1110
1, 1, 3515, 1090
1, 1, 3940, 1270
1, 1, 3779, 1200
1, 1, 3802, 1208
1, 1, 3405, 1030
1, 1, 3389, 1050
1, 1, 3186, 1000
1, 1, 3364, 1020
1, 1, 3463, 1030
1, 1, 3323, 1000
1, 1, 3606, 1175
1, 1, 3418, 1010
1, 1, 3359, 1027
1, 1, 3460, 1085
1, 1, 3498, 1060
1, 1, 3530, 1080
1, 1, 3529, 1060
1, 1, 3667, 1205
1, 1, 3507, 1085
1, 1, 3716, 1250
1, 1, 3916, 1320
1, 1, 3515, 1110
1, 1, 3398, 1080
1, 1, 3606, 1220
1, 1, 3563, 1120
1, 1, 3703, 1170
1, 1, 3454, 1010
1, 1, 3363, 1050
1, 1, 3715, 1250
1, 1, 3318, 1110
1, 1, 3458, 1030
1, 1, 3492, 1080
1, 1, 3650, 1200
1, 1, 3487, 1110
1, 1, 3539, 1027
1, 1, 3715, 1180
1, 1, 3470, 1095
1, 1, 3487, 1105
1, 1, 3633, 1130
1, 1, 3616, 1070
1, 1, 3492, 1000
1, 1, 3645, 1120
1, 1, 3648, 1075
1, 1, 3876, 1250
1, 1, 3665, 1130
1, 1, 3750, 1208
1, 1, 3246, 1020
1, 1, 3632, 1055
1, 1, 3396, 1110
1, 1, 3208, 1000
1, 1, 3579, 1030
1, 1, 3703, 1250
1, 1, 3796, 1300
1, 1, 3879, 1246
1, 1, 3650, 1120
1, 1, 3500, 1030
1, 1, 3639, 1170
1, 1, 3695, 1230
1, 1, 3591, 1050
1, 1, 3771, 1280
1, 1, 3645, 1020
1, 1, 3698, 1050
1, 1, 3704, 1270
1, 1, 3492, 1055
1, 1, 3540, 1027
1, 1, 3900, 1230
1, 1, 3505, 1050
1, 1, 3591, 1100
1, 1, 3408, 1050
1, 1, 3740, 1178
1, 1, 3485, 1126
1, 1, 3906, 1250
1, 1, 3685, 1120
1, 1, 3664, 1150
1, 1, 3600, 1188
1, 1, 3807, 1260
1, 1, 3591, 1000
1, 1, 3642, 1120
1, 1, 3639, 1060
1, 1, 3706, 1200
1, 1, 3636, 1115
1, 1, 3543, 1002
1, 1, 3622, 1000
1, 1, 3496, 1120
1, 1, 3756, 1250
1, 1, 3602, 1205
1, 1, 3787, 1200
1, 1, 3569, 1010
1, 1, 3636, 1055
1, 1, 3724, 1162
1, 1, 3755, 1256
1, 1, 3782, 1235
1, 1, 3748, 1300
1, 1, 3632, 1070
1, 1, 3437, 1000
1, 1, 3641, 1032
1, 1, 3640, 1110
1, 1, 3635, 1120
1, 1, 3558, 1025
1, 1, 3669, 1230
1, 1, 3715, 1190
1, 1, 3522, 1055
1, 1, 3658, 1226
1, 1, 3666, 1240
1, 1, 3327, 1020
1, 1, 3500, 1102
1, 1, 3705, 1240
1, 1, 3675, 1230
1, 1, 3497, 1003
1, 1, 3722, 1160
1, 1, 3611, 1020
1, 1, 3550, 1010
1, 1, 3466, 1052
1, 1, 3507, 1082
1, 1, 3533, 1060
1, 1, 3493, 1002
1, 1, 3635, 1120
1, 1, 3695, 1200
1, 1, 3571, 1075
1, 1, 3704, 1196
1, 1, 3704, 1150
1, 1, 3420, 1027
1, 1, 3388, 1050
1, 1, 3979, 1320
1, 1, 3556, 1080
1, 1, 3772, 1285
1, 1, 3664, 1100
1, 1, 3557, 1040
1, 1, 3704, 1180
1, 1, 3402, 1060
1, 1, 3600, 1090
1, 1, 3704, 1218
1, 1, 3642, 1150
1, 1, 3508, 1040
1, 1, 3680, 1235
1, 1, 3518, 1080
1, 1, 3616, 1160
1, 1, 3639, 1060
1, 1, 3715, 1175
1, 1, 3629, 1155
1, 1, 3756, 1235
1, 1, 3632, 1070
1, 1, 3848, 1340
1, 1, 3556, 1050
1, 1, 3690, 1155
1, 1, 3588, 1132
1, 1, 3876, 1350
1, 1, 3585, 1105
1, 1, 3654, 1075
1, 1, 3802, 1250
1, 1, 3577, 1030
1, 1, 3690, 1230
1, 1, 3658, 1110
1, 1, 3745, 1150
1, 1, 3909, 1230
1, 1, 3593, 1000
1, 1, 3768, 1230
1, 1, 3718, 1230
1, 1, 3495, 1040
1, 1, 3768, 1175
1, 1, 3618, 1068
1, 1, 3832, 1318
1, 1, 3592, 1090
1, 1, 3794, 1215
1, 1, 3561, 1015
1, 1, 3695, 1225
1, 1, 3500, 1002
1, 1, 3648, 1102
1, 1, 3642, 1140
1, 1, 3608, 1110
1, 1, 3768, 1200
1, 1, 3592, 1090
1, 1, 3580, 1030
1, 1, 3745, 1240
1, 1, 3489, 1040
1, 1, 3705, 1220
1, 1, 3558, 1085
1, 1, 3631, 1168
1, 1, 3585, 1130
1, 1, 3462, 1082
1, 1, 3556, 1070
1, 1, 3555, 1010
1, 1, 3660, 1200
1, 1, 3723, 1245
1, 1, 3619, 1175
1, 1, 3722, 1240
1, 1, 3545, 1095
1, 1, 3830, 1280
1, 1, 3439, 1000
1, 1, 3745, 1256
1, 1, 3458, 1020
1, 1, 3667, 1180
1, 1, 3500, 1000
1, 1, 3656, 1208
1, 1, 3492, 1015
1, 1, 3615, 1090
1, 1, 3633, 1070
1, 1, 3485, 1040
1, 1, 3746, 1165
1, 1, 3558, 1050
1, 1, 3686, 1220
1, 1, 3476, 1050
1, 1, 3805, 1200
1, 1, 3558, 1070
1, 1, 3715, 1240
1, 1, 3500, 1065
1, 1, 3599, 1060
1, 1, 3561, 1050
1, 1, 3659, 1100
1, 1, 3716, 1250
1, 1, 3505, 1060
1, 1, 3625, 1150
1, 1, 3600, 1190
1, 1, 3665, 1200
1, 1, 3500, 1070
1, 1, 3630, 1175
1, 1, 3650, 1105
1, 1, 3632, 1150
1, 1, 3492, 1085
1, 1, 3675, 1210
1, 1, 3580, 1090
1, 1, 3689, 1220
1, 1, 3566, 1055
1, 1, 3611, 1160
1, 1, 3750, 1280
1, 1, 3618, 1100
1, 1, 3672, 1220
1, 1, 3665, 1210
1, 1, 3790, 1290
1, 1, 3718, 1235
1, 1, 3555, 1060
1, 1, 3636, 1080
1, 1, 3792, 1240
1, 1, 3725, 1230
1, 1, 3697, 1200
1, 1, 3585, 1085
1, 1, 3450, 1030
1, 1, 3656, 1170
1, 1, 3500, 1050
1, 1, 3688, 1240
1, 1, 3750, 1280
1, 1, 3656, 1100
1, 1, 3663, 1195
1, 1, 3489, 1060
1, 1, 3585, 1050
1, 1, 3675, 1200
1, 1, 3695, 1230
1, 1, 3720, 1245
