Gender, Age Range, Head Size(cm^3), Brain weight(grams)
1, 1, 3480, 1090
1, 1, 3768, 1300
1, 1, 3625, 1110
1, 1, 3656, 1180
1, 1, 3606, 1130
1, 1, 3502, 1045
1, 1, 3768, 1250
1, 1, 3628, 1170
1, 1, 3645, 1130
1, 1, 3765, 1290
1, 1, 3624, 1080
1, 1, 3615, 1180
1, 1, 3592, 1050
1, 1, 3646, 1120
1, 1, 3600, 1160
1, 1, 3688, 1210
1, 1, 3560, 1025
1, 1, 3580, 1055
1, 1, 3654, 1180
1, 1, 3530, 1030
1, 1, 3598, 1110
1, 1, 3556, 1070
1, 1, 3558, 1090
1, 1, 3620, 1200
1, 1, 3505, 1055
1, 1, 3648, 1220
1, 1, 3756, 1250
1, 1, 3685, 1210
1, 1, 3550, 1080
1, 1, 3525, 1020
1, 1, 3735, 1270
1, 1, 3560, 1095
1, 1, 3688, 1220
1, 1, 3675, 1230
1, 1, 3675, 1215
1, 1, 3750, 1300
1, 1, 3599, 1105
1, 1, 3724, 1200
1, 1, 3500, 1070
1, 1, 3666, 1200
1, 1, 3646, 1100
1, 1, 3602, 1115
1, 1, 3500, 1050
1, 1, 3725, 1300
1, 1, 3589, 1070
1, 1, 3716, 1180
1, 1, 3675, 1215
1, 1, 3489, 1090
1, 1, 3577, 1045
1, 1, 3696, 1200
1, 1, 3588, 1120
1, 1, 3620, 1160
1, 1, 3612, 1120
1, 1, 3664, 1160
1, 1, 3569, 1030
1, 1, 3750, 1265
1, 1, 3505, 1060
1, 1, 3724, 1230
1, 1, 3559, 1075
1, 1, 3570, 1100
1, 1, 3615, 1180
1, 1, 3630, 1180
1, 1, 3664, 1170
1, 1, 3578, 1055
1, 1, 3521, 1000
1, 1, 3645, 1100
1, 1, 3705, 1230
1, 1, 3638, 1135
1, 1, 3707, 1210
1, 1, 3585, 1050
1, 1, 3795, 1280
1, 1, 3648, 1140
1, 1, 3591, 1080
1, 1, 3580, 1070
1, 1, 3590, 1100
1, 1, 3540, 1080
1, 1, 3660, 1190
1, 1, 3630, 1180
1, 1, 3589, 1150
1, 1, 3610, 1130
1, 1, 3652, 1150
1, 1, 3627, 1140
1, 1, 3591, 1070
1, 1, 3659, 1150
1, 1, 3680, 1200
1, 1, 3627, 1160
1, 1, 3590, 1130
1, 1, 3685, 1200
1, 1, 3588, 1100
1, 1, 3540, 1050
1, 1, 3620, 1150
1, 1, 3670, 1180
1, 1, 3685, 1170
1, 1, 3600, 1160
1, 1, 3600, 1190
1, 1, 3591, 1100
1, 1, 3725, 1240
1, 1, 3586, 1070
1, 1, 3575, 1100
1, 1, 3606, 1160
1, 1, 3686, 1180
1, 1, 3650, 1120
1, 1, 3615, 1120
1, 1, 3642, 1140
1, 1, 3669, 1160
1, 1, 3505, 1070
1, 1, 3725, 1200
1, 1, 3675, 1180
1, 1, 3630, 1150
1, 1, 3590, 1080
1, 1, 3640, 1160
1, 1, 3626, 1100
1, 1, 3620, 1150
1, 1, 3695, 1200
1, 1, 3575, 1080
1, 1, 3650, 1130
1, 1, 3706, 1240
1, 1, 3560, 1080
1, 1, 3710, 1200
1, 1, 3639, 1160
1, 1, 3567, 1080
1, 1, 3707, 1220
1, 1, 3595, 1110
1, 1, 3618, 1120
1, 1, 3630, 1160
1, 1, 3620, 1130
1, 1, 3650, 1180
1, 1, 3635, 1190
1, 1, 3591, 1110
1, 1, 3685, 1170
1, 1, 3590, 1100
1, 1, 3600, 1140
1, 1, 3650, 1160
1, 1, 3655, 1180
1, 1, 3600, 1100
1, 1, 3670, 1180
1, 1, 3600, 1140
1, 1, 3655, 1120
1, 1, 3600, 1200
1, 1, 3655, 1100
1, 1, 3670, 1160
1, 1, 3595, 1120
1, 1, 3640, 1180
1, 1, 3630, 1130
1, 1, 3660, 1150
1, 1, 3600, 1200
1, 1, 3655, 1170
1, 1, 3630, 1120
1, 1, 3610, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1201
